invoice_id,user_id,plan_id,plan_amount,amount,user_amount,trans_id,location,discount,method,description,device_type,device_id,status,created_date,last_update,app_id,object_id,client
4485130,11720739,1114,0,0,0,1570766318-2-11720739,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-11 10:58:38","2019-10-11 10:58:38",APP001,,
4485129,11720739,1560,0,0,0,1570766318-1-11720739,othe,0,direct,"Gói HBO GO",,,1,"2019-10-11 10:58:38","2019-10-11 10:58:38",APP001,,
4485128,11720739,1113,0,0,0,1570766318-0-11720739,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-11 10:58:38","2019-10-11 10:58:38",APP001,,
4485127,11720739,18164,375,0,0,1570766318-11720739,vn,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen-2014,D8FA5650206D6A2A,1,"2019-10-11 10:58:38","2019-10-11 10:58:38",APP001,,
4485126,2024448,1730,67,67,0,1000000577967914,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-11 10:54:11","2019-10-11 10:54:11",APP001,,
4485125,11720720,1114,0,0,0,1570764097-2-11720720,othe,0,direct,"Gói Phim Đặc Sắc",,,1,"2019-10-11 10:21:37","2019-10-11 10:21:37",APP001,,
4485124,11720720,1560,0,0,0,1570764096-1-11720720,othe,0,direct,"Gói HBO GO",,,1,"2019-10-11 10:21:36","2019-10-11 10:21:36",APP001,,
4485123,11720720,1113,0,0,0,1570764096-0-11720720,othe,0,direct,"Gói Kênh trả phí",,,1,"2019-10-11 10:21:36","2019-10-11 10:21:36",APP001,,
4485122,11720720,18164,375,0,0,1570764096-11720720,rest,0,giftcode,"Gói K+ 3 tháng khuyến mãi Samsung",smarttv-ss-nextgen,ICCZHKU766LU3,1,"2019-10-11 10:21:36","2019-10-11 10:21:36",APP001,,
4485121,2024448,865,240,240,0,1570754434-2024448,othe,0,direct,"Gói Tắt Quảng Cáo",smarttv-sony-android,60857ba43c0f42c2,1,"2019-10-11 07:40:40","2019-10-11 07:40:40",APP001,,
4485120,2024448,508,500,500,0,1570754414-2024448,othe,0,direct,"Gói Phim Đặc Sắc",smarttv-sony-android,60857ba43c0f42c2,1,"2019-10-11 07:40:23","2019-10-11 07:40:23",APP001,,
4485118,2024448,626,750,750,0,1570754371-2024448,othe,0,direct,"Gói K+",smarttv-sony-android,60857ba43c0f42c2,1,"2019-10-11 07:39:40","2019-10-11 07:39:40",APP001,,
